visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,is_disengaged
"1,70221E+18",1,0.0,2,0.34,0
"1,70222E+18",1,0.0,1,0.333,0
"1,70223E+18",1,0.0,2,0.34,0
"1,70224E+18",1,0.0,2,0.34,0
"1,70225E+18",2,0.0,3,0.349,0
"1,70229E+18",1,0.0,1,0.333,0
"1,70231E+18",1,0.0,2,0.34,0
"1,70233E+18",1,0.0,1,0.333,0
"1,70238E+18",1,0.0,1,0.333,0
"1,70241E+18",1,0.0,1,0.333,0
"1,70242E+18",1,0.0,1,0.333,0
"1,70243E+18",1,0.0,1,0.333,0
"1,70247E+18",1,0.0,1,0.333,0
"1,70248E+18",1,0.0,1,0.333,0
"1,70252E+18",1,0.0,1,0.333,0
"1,70254E+18",1,0.0,1,0.333,0
"1,70255E+18",1,0.0,1,0.333,0
"1,70256E+18",1,0.0,1,0.333,0
"1,70259E+18",1,0.0,1,0.333,0
"1,7025E+18",1,0.0,2,0.34,0
"1,70263E+18",1,0.0,1,0.333,0
"1,70264E+18",1,0.0,1,0.333,0
"1,70265E+18",1,0.0,2,0.34,0
"1,70266E+18",4,3.6666666666666665,5,0.33,1
"1,70268E+18",1,0.0,1,0.333,0
"1,70269E+18",1,0.0,1,0.333,0
"1,70271E+18",1,0.0,1,0.333,0
"1,70272E+18",1,0.0,1,0.333,0
"1,70274E+18",1,0.0,1,0.333,0
"1,70276E+18",1,0.0,1,0.333,0
"1,7027E+18",1,0.0,1,0.333,0
"1,70284E+18",1,0.0,3,0.347,0
"1,70289E+18",2,0.0,3,0.349,0
"1,7028E+18",1,0.0,1,0.333,0
"1,70291E+18",1,0.0,1,0.333,0
"1,70292E+18",3,1.1666666666666667,4,0.347,0
"1,70293E+18",1,0.0,3,0.347,0
"1,70294E+18",2,14.0,3,0.206,1
"1,70295E+18",1,0.0,2,0.34,0
"1,70297E+18",1,0.0,3,0.347,0
"1,70298E+18",1,0.0,1,0.333,0
"1,7029E+18",6,0.3333333333333333,6,0.377,0
"1,70301E+18",1,0.0,1,0.333,0
"1,70302E+18",1,0.0,2,0.34,0
"1,70306E+18",1,0.0,1,0.333,0
"1,70308E+18",1,0.0,1,0.333,0
"1,70311E+18",1,0.0,2,0.34,0
"1,70312E+18",1,0.0,1,0.333,0
"1,70315E+18",1,0.0,1,0.333,0
"1,70316E+18",1,0.0,1,0.333,0
"1,70317E+18",1,0.0,2,0.34,0
"1,70319E+18",2,4.5,2,0.297,1
"1,70321E+18",1,0.0,1,0.333,0
"1,70323E+18",1,0.0,1,0.333,0
"1,70325E+18",1,0.0,1,0.333,0
"1,70326E+18",3,3.5,4,0.323,1
"1,70328E+18",1,0.0,1,0.333,0
"1,70329E+18",18,1.7142857142857142,5,0.388,0
"1,70333E+18",1,0.0,1,0.333,0
"1,70337E+18",2,1.5,2,0.327,1
"1,70341E+18",1,0.0,1,0.333,0
"1,70342E+18",1,0.0,1,0.333,0
"1,70346E+18",2,19.0,1,0.141,1
"1,70352E+18",1,0.0,1,0.333,0
"1,70359E+18",1,0.0,1,0.333,0
"1,7035E+18",1,0.0,1,0.333,0
"1,70367E+18",1,0.0,1,0.333,0
"1,70368E+18",1,0.0,1,0.333,0
"1,70369E+18",1,0.0,1,0.333,0
"1,7036E+18",1,0.0,1,0.333,0
"1,70371E+18",1,0.0,1,0.333,0
"1,70372E+18",1,0.0,1,0.333,0
"1,70377E+18",1,0.0,1,0.333,0
"1,70378E+18",2,4.0,2,0.302,1
"1,7037E+18",1,0.0,1,0.333,0
"1,70382E+18",1,0.0,1,0.333,0
"1,70384E+18",1,0.0,1,0.333,0
"1,70385E+18",1,0.0,1,0.333,0
"1,70388E+18",1,0.0,1,0.333,0
"1,70389E+18",1,0.0,2,0.34,0
"1,70391E+18",1,0.0,1,0.333,0
"1,70392E+18",1,0.0,1,0.333,0
"1,703E+18",1,0.0,1,0.333,0
"1,70404E+18",1,0.0,1,0.333,0
"1,70411E+18",1,0.0,1,0.333,0
"1,70413E+18",1,0.0,1,0.333,0
"1,70419E+18",1,0.0,1,0.333,0
"1,70421E+18",1,0.0,1,0.333,0
"1,70428E+18",1,0.0,1,0.333,0
"1,70431E+18",1,0.0,1,0.333,0
"1,70434E+18",1,0.0,1,0.333,0
"1,70435E+18",1,0.0,1,0.333,0
"1,70436E+18",1,0.0,1,0.333,0
"1,70437E+18",1,0.0,1,0.333,0
"1,70438E+18",3,2.6666666666666665,1,0.311,1
"1,7043E+18",1,0.0,1,0.333,0
"1,70441E+18",1,0.0,1,0.333,0
"1,70444E+18",1,0.0,1,0.333,0
"1,70445E+18",2,0.3333333333333333,1,0.333,0
"1,70446E+18",2,5.0,1,0.285,1
"1,70453E+18",1,0.0,1,0.333,0
"1,70456E+18",1,0.0,1,0.333,0
"1,70461E+18",6,2.5,1,0.321,1
"1,70463E+18",4,0.1111111111111111,5,0.367,0
"1,70464E+18",1,0.0,4,0.353,0
"1,70465E+18",3,1.25,2,0.333,0
"1,70466E+18",1,0.0,1,0.333,0
"1,70467E+18",1,0.0,1,0.333,0
"1,70469E+18",1,0.0,1,0.333,0
"1,70471E+18",1,0.0,1,0.333,0
"1,70472E+18",3,1.0,3,0.342,0
"1,70473E+18",2,0.2857142857142857,3,0.346,0
"1,70474E+18",3,0.25,3,0.349,0
"1,70475E+18",3,0.0,5,0.365,0
"1,70476E+18",2,0.0,3,0.349,0
"1,70478E+18",1,0.0,1,0.333,0
"1,70479E+18",3,0.0,4,0.359,0
"1,7047E+18",1,0.0,7,0.373,0
"1,70481E+18",1,0.0,2,0.34,0
"1,70483E+18",5,4.111111111111111,4,0.322,1
"1,70487E+18",2,0.5,2,0.338,0
"1,70488E+18",1,0.0,2,0.34,0
"1,70489E+18",1,0.0,2,0.34,0
"1,70491E+18",1,0.0,1,0.333,0
"1,70493E+18",1,0.0,1,0.333,0
"1,70497E+18",1,0.0,1,0.333,0
"1,70498E+18",3,0.1333333333333333,5,0.364,0
"1,70499E+18",1,0.0,1,0.333,0
"1,7049E+18",1,0.0,1,0.333,0
"1,70504E+18",1,0.0,1,0.333,0
"1,70506E+18",1,0.0,1,0.333,0
"1,70507E+18",1,0.0,1,0.333,0
"1,70508E+18",1,0.0,3,0.347,0
"1,70514E+18",1,0.0,1,0.333,0
"1,70515E+18",1,0.0,1,0.333,0
"1,70517E+18",1,0.0,1,0.333,0
"1,70523E+18",1,0.0,2,0.34,0
"1,70524E+18",1,0.0,1,0.333,0
"1,70525E+18",1,0.0,1,0.333,0
"1,70526E+18",1,0.0,2,0.34,0
"1,70527E+18",1,0.0,1,0.333,0
"1,70531E+18",2,1.0,1,0.326,1
"1,70532E+18",1,0.0,1,0.333,0
"1,70533E+18",1,0.0,4,0.353,0
"1,70534E+18",1,0.0,1,0.333,0
"1,70535E+18",2,1.0,2,0.332,1
"1,70536E+18",1,0.0,1,0.333,0
"1,70542E+18",1,0.0,3,0.347,0
"1,70543E+18",1,0.0,1,0.333,0
"1,70544E+18",1,0.0,1,0.333,0
"1,70548E+18",1,0.0,1,0.333,0
"1,7054E+18",1,0.0,2,0.34,0
"1,70551E+18",1,0.0,1,0.333,0
"1,70552E+18",1,0.0,1,0.333,0
"1,70557E+18",1,0.0,1,0.333,0
"1,70558E+18",2,0.1666666666666666,1,0.334,0
"1,70559E+18",1,0.0,1,0.333,0
"1,7055E+18",1,0.0,1,0.333,0
"1,70564E+18",1,0.0,1,0.333,0
"1,70566E+18",1,0.0,1,0.333,0
"1,70567E+18",1,0.0,1,0.333,0
"1,70568E+18",1,0.0,1,0.333,0
"1,7056E+18",1,0.0,1,0.333,0
"1,70576E+18",1,0.0,1,0.333,0
"1,70577E+18",1,0.0,1,0.333,0
"1,7057E+18",2,1.5,2,0.327,1
"1,70583E+18",1,0.0,1,0.333,0
"1,70584E+18",2,0.0,2,0.343,0
"1,70585E+18",1,0.0,1,0.333,0
"1,70587E+18",1,0.0,1,0.333,0
"1,70591E+18",1,0.0,2,0.34,0
"1,70592E+18",1,0.0,2,0.34,0
"1,70593E+18",1,0.0,1,0.333,0
"1,70594E+18",1,0.0,1,0.333,0
"1,70599E+18",1,0.0,1,0.333,0
"1,705E+18",1,0.0,1,0.333,0
