visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,return_rate,visitor_type,browser_clean,os_clean,source_clean,medium_clean,avg_time_on_content,nb_unique_documents_viewed,device_type,is_disengaged
"1,69909E+18",2,1.6666666666666667,1,0.319,0.3749999999999999,Mixte,Chrome,Windows,Referral,Direct,10,1,ordinateur,1
"1,69913E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,69914E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69919E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,6991E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69921E+18",1,0.0,3,0.347,1.0,Nouveau,Edge,Windows,Referral,Direct,5,3,ordinateur,1
"1,69922E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69923E+18",7,1.6666666666666667,6,0.366,0.3749999999999999,Mixte,Chrome,Windows,Referral,Direct,35,6,ordinateur,1
"1,69926E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69927E+18",5,6.166666666666667,3,0.294,0.1395348837209302,Mixte,Edge,Windows,Referral,Direct,25,3,ordinateur,1
"1,69928E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69929E+18",2,0.5,2,0.338,0.6666666666666666,Mixte,Chrome,Windows,Referral,Direct,10,2,ordinateur,1
"1,6992E+18",4,0.2,4,0.359,0.8333333333333334,Mixte,Chrome,Windows,Referral,Direct,20,4,ordinateur,1
"1,69931E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
